General : Start date,"2/12/2018 8:56 AM"
General : End date,"2/12/2018 8:58 AM"
Test : Rate 1,"6.00000",mm/min
Specimen properties : Length,"57.20000",mm
Specimen properties : Thickness,"6.60000",mm
Specimen properties : Width,"12.92000",mm
Specimen properties : Area,"85.27200",mm^2

Time,Extension,Load,Tensile strain (Extension),Strain 1
(s),(mm),(N),(%),(%)
"34.00000","3.40022","24192.62695","5.94445","1.66927"
"34.10000","3.41015","24197.51172","5.96180","1.68713"
"34.20000","3.42016","24205.92969","5.97929","1.70526"
"34.30000","3.43021","24212.01562","5.99687","1.72260"
"34.40000","3.44021","24218.30859","6.01436","1.73982"
"34.50000","3.45017","24226.41406","6.03176","1.75757"
"34.60000","3.46019","24233.75195","6.04929","1.77560"
"34.70000","3.47017","24239.56445","6.06674","1.79307"
"34.80000","3.48015","24246.07031","6.08418","1.81038"
"34.90000","3.49018","24256.39258","6.10172","1.82839"
"35.00000","3.50021","24261.85547","6.11925","1.84589"
"35.10000","3.51019","24267.08398","6.13669","1.86358"
"35.20000","3.52017","24273.72266","6.15414","1.88088"
"35.30000","3.53015","24282.94141","6.17158","1.89813"
"35.40000","3.54015","24289.90234","6.18907","1.91575"
"35.50000","3.55015","24296.49609","6.20656","1.93363"
"35.60000","3.56023","24302.37891","6.22418","1.95113"
"35.70000","3.57024","24307.81641","6.24167","1.96855"
"35.80000","3.58016","24313.80469","6.25903","1.98519"
"35.90000","3.59017","24322.82031","6.27652","2.00284"
"36.00000","3.60025","24330.43359","6.29414","2.01977"
"36.10000","3.61025","24334.76953","6.31163","2.03737"
"36.20000","3.62018","24342.06250","6.32899","2.05451"
"36.30000","3.63018","24350.45898","6.34647","2.07140"
"36.40000","3.64016","24356.58789","6.36392","2.08879"
"36.50000","3.65014","24362.74023","6.38136","2.10566"
"36.60000","3.66014","24370.32422","6.39885","2.12269"
"36.70000","3.67022","24378.58008","6.41648","2.14003"
"36.80000","3.68018","24384.11523","6.43388","2.15720"
"36.90000","3.69016","24389.79883","6.45132","2.17450"
"37.00000","3.70018","24395.67969","6.46885","2.19086"
"37.10000","3.71016","24403.48828","6.48630","2.20816"
"37.20000","3.72014","24411.37695","6.50374","2.22548"
"37.30000","3.73025","24418.58984","6.52141","2.24225"
"37.40000","3.74025","24421.71484","6.53890","2.25920"
"37.50000","3.75013","24426.54102","6.55617","2.27599"
"37.60000","3.76013","24436.48828","6.57366","2.29255"
"37.70000","3.77021","24444.21289","6.59128","2.30957"
"37.80000","3.78022","24449.45508","6.60877","2.32640"
"37.90000","3.79017","24455.83398","6.62617","2.34351"
"38.00000","3.80020","24463.13281","6.64370","2.36039"
"38.10000","3.81015","24469.20117","6.66110","2.37677"
"38.20000","3.82013","24475.26562","6.67855","2.39376"
"38.30000","3.83021","24482.70117","6.69617","2.41097"
"38.40000","3.84024","24488.63867","6.71370","2.42758"
"38.50000","3.85019","24494.19922","6.73110","2.44473"
"38.60000","3.86017","24501.61133","6.74855","2.46095"
"38.70000","3.87022","24507.83398","6.76613","2.47784"
"38.80000","3.88020","24513.80664","6.78357","2.49409"
"38.90000","3.89016","24521.73438","6.80097","2.51086"
"39.00000","3.90021","24529.29883","6.81855","2.52743"
"39.10000","3.91021","24534.07617","6.83604","2.54396"
"39.20000","3.92012","24539.51172","6.85335","2.56031"
"39.30000","3.93012","24550.19141","6.87084","2.57706"
"39.40000","3.94022","24558.95898","6.88850","2.59372"
"39.50000","3.95020","24562.42773","6.90595","2.61074"
"39.60000","3.96018","24568.75391","6.92339","2.62751"
"39.70000","3.97024","24574.50977","6.94097","2.64441"
"39.80000","3.98021","24580.17383","6.95842","2.66087"
"39.90000","3.99017","24586.31641","6.97582","2.67717"
"40.00000","4.00022","24593.68945","6.99339","2.69402"
"40.10000","4.01025","24600.39648","7.01093","2.70999"
"40.20000","4.02018","24606.49414","7.02829","2.72689"
"40.30000","4.03013","24613.70117","7.04569","2.74347"
"40.40000","4.04019","24619.54883","7.06326","2.76046"
"40.50000","4.05022","24625.30078","7.08080","2.77665"
